Case,Time Legacy (s),Time Docling (s),Error Legacy,Error Docling,Fields Legacy Plankart,Fields Legacy Bestemmelser,Fields Legacy SOSI,Fields Docling Plankart,Fields Docling Bestemmelser,Fields Docling SOSI,Consistency Legacy,Consistency Docling,Matching Legacy,Matching Docling,Plankart Jaccard Sim,Bestemm. Jaccard Sim,SOSI Jaccard Sim
case1,37.072011947631836,1.8130772113800049,False,False,23,17,25,23,17,0,False,False,8,10,0.7037037037037037,0.6190476190476191,0.0
case2,33.05641222000122,2.801241397857666,False,False,14,7,62,24,7,0,False,False,4,6,0.26666666666666666,0.4,0.0
